Country,HouseholdExpenditurePerCapita
 Hong Kong,38285
USA ,37903
Switzerland ,28320
Luxembourg ,28261
Norway ,25481
Bermuda ,24868
Canada ,24704
 Singapore ,24703
 Iceland ,24679
 Australia ,24147
UK,23882
 Germany ,23880
 Macao ,23617
 Austria ,23259
 Finland ,21221
 Sweden ,21197
 Cyprus ,20928
 Belgium ,20846
 Netherlands ,20760
 New Zealand ,20485
 France ,20408
 Japan ,20293
 Denmark ,20229
 Italy ,20132
 Ireland ,20080
 Israel ,18202
 Kuwait ,18094
 Puerto Rico ,17981
 Qatar ,17791
 Guam ,17773
 Spain ,17650
 Lithuania ,17636
 Portugal ,17072
 Curacao ,16903
South Korea,16848
UAE,16699
 Aruba ,16637
Bahamas,16337
 Malta ,16056
 Poland ,16018
 Greece ,16012
 Saudi Arabia ,15689
 Slovenia ,15500
 Czech Republic ,14935
 Slovak Republic ,14746
 Bahrain ,14160
 Estonia ,14137
 Malaysia ,14126
 Romania ,13876
 Latvia ,13871
 Chile ,13527
 Russia ,13321
 Uruguay ,13167
 Hungary ,13166
 Mauritius ,12823
 Turkey ,12526
 Oman ,12061
 Argentina ,11884
 Croatia ,11829
 Belarus ,11776
 Panama ,11474
Taiwan,11196
 Montenegro ,11187
 Lebanon ,11175
 Bulgaria ,10965
 Palau ,10796
 Costa Rica ,10778
 Kazakhstan ,10206
 Seychelles ,10160
 Mexico ,10064
 Brunei ,10054
 Dominican Republic ,9967
 Barbados ,9751
 Northern Mariana Islands ,9655
 Venezuela ,9260
 Serbia ,9020
 Kosovo ,8717
 Colombia ,8612
 American Samoa ,8302
 Bosnia and Herzegovina ,8302
 Thailand ,8269
 North Macedonia ,8094
 Brazil ,7987
 Sri Lanka ,7780
 Peru ,7721
 Egypt ,7621
 Paraguay ,7436
 Namibia ,7320
 Equatorial Guinea ,7288
 Albania ,7174
 South Africa ,6989
 Iran ,6917
 Eswatini ,6912
 Saint Lucia ,6900
 Armenia ,6779
 Jordan ,6657
 Tunisia ,6503
 Azerbaijan ,6476
 Ukraine ,6469
 Botswana ,6419
 Guatemala ,6272
 Georgia ,6254
 El Salvador ,6138
 Ecuador ,5934
 Moldova ,5852
 Jamaica ,5647
 Indonesia ,5645
 China ,5548
 Mongolia ,5483
 Philippines ,5364
 Belize ,5305
 Guyana ,4759
 Cabo Verde ,4552
 Bhutan ,4509
 Iraq ,4394
 Algeria ,4261
 Bolivia ,4245
 Tonga ,4213
 Gabon ,4136
 Morocco ,4004
 Viet Nam,4003
 Pakistan ,3986
 India ,3966
 Palestine ,3614
 Nicaragua ,3606
 Honduras ,3527
 Laos ,3337
 Nigeria ,3225
 Ghana ,3206
 Kyrgyzstan ,2820
 Lesotho ,2524
 Bangladesh ,2511
 C?te d'Ivoire ,2500
 Cambodia ,2485
 Angola ,2437
 Zimbabwe ,2418
 Kenya ,2416
 Tajikistan ,2382
 Senegal ,2360
 Uzbekistan ,2358
 Cameroon ,2343
 Comoros ,2162
 Marshall Islands ,2101
 Sudan ,2100
   Nepal ,1923
 Zambia ,1810
 Mauritania ,1776
 Togo ,1686
 Myanmar ,1680
 Guinea ,1613
 Rwanda ,1603
 Eritrea ,1549
 Vanuatu ,1544
 Afghanistan ,1535
 Mali ,1472
 Liberia ,1460
 Guinea-Bissau ,1402
 Tanzania ,1395
 Benin ,1279
 East Timor ,1224
 Sierra Leone ,1206
 Chad ,1182
 Uganda ,1149
" Gambia, The ",1143
 Malawi ,1130
 Madagascar ,1054
 Ethiopia ,1043
 Burkina Faso ,984
 Congo ,907
 Mozambique ,878
 Turkmenistan ,821
 South Sudan ,785
 DR Congo ,618
 Niger ,592
 Central African Republic ,557
 Burundi ,534
